operating_hours,temperature,vibration,pressure,age_months,maintenance_count,load_percentage,rpm,humidity,power_consumption,failure
7109.0,98.1,5.23,123.1,105,15,78.7,2885.4,50.4,133.0,0
557.4,49.7,5.38,104.9,87,14,51.1,4121.5,91.4,854.2,0
7290.5,64.2,0.04,146.8,104,8,76.3,3751.8,39.4,712.2,0
2046.3,82.6,7.88,192.1,11,0,24.0,3288.2,57.0,898.8,0
780.6,85.2,7.02,56.2,47,8,34.3,2376.4,91.4,1869.3,1
11386.6,88.0,7.16,187.8,6,10,19.0,4066.0,55.7,1443.5,1
11587.6,53.3,5.27,141.4,34,4,87.9,4767.0,84.8,722.2,1
9700.8,70.4,2.76,171.1,65,5,36.7,544.1,24.4,440.6,1
3655.4,89.4,7.15,107.6,99,7,72.5,3145.3,91.5,1275.1,1
1172.1,117.6,2.33,120.8,89,14,83.8,4396.9,34.1,1349.4,1
8210.8,98.2,4.5,180.3,64,15,91.1,3439.0,93.5,1018.9,1
5281.8,113.8,0.8,112.2,93,17,19.6,4103.7,33.2,504.2,0
1464.5,101.0,7.38,130.2,87,11,90.4,4527.8,53.3,154.3,1
5942.1,87.3,1.13,53.0,82,3,27.8,3879.3,43.1,604.8,0
412.7,55.4,1.8,73.8,78,15,76.3,3726.6,52.5,968.6,0
10911.8,93.3,4.47,146.3,81,10,75.6,4841.4,38.8,1597.1,1
3105.4,89.9,6.11,157.5,66,6,10.8,4386.6,92.4,1722.1,1
7950.3,88.2,4.95,137.4,31,14,29.9,4169.2,42.9,884.6,1
3740.5,79.2,1.86,71.5,83,16,54.3,888.8,69.0,1612.6,0
6240.8,82.3,0.01,116.8,96,14,47.8,1575.6,30.3,1987.4,0
6560.5,66.8,6.06,103.3,62,9,92.7,3005.4,81.8,1461.6,0
2218.3,81.5,7.88,124.3,54,3,42.4,3693.0,60.7,1484.3,1
11635.0,55.8,6.48,180.5,92,16,94.3,1864.5,93.5,1828.1,1
9301.6,104.4,3.68,166.4,105,3,51.3,920.0,51.8,742.5,1
11274.0,54.9,7.23,62.6,8,10,96.8,1899.9,34.7,121.3,0
10737.9,46.8,3.28,183.5,42,3,76.4,3969.6,46.0,1975.3,1
7174.8,74.9,4.2,120.8,41,11,84.6,4448.3,75.3,1031.9,0
11062.5,92.7,3.82,161.6,59,9,19.4,4608.1,69.4,1592.8,1
1061.9,75.0,3.58,71.0,40,13,62.8,2204.9,78.4,1643.7,0
2351.8,62.1,6.2,150.6,103,17,22.8,2176.4,25.5,855.3,0
542.7,84.7,4.21,85.4,22,5,36.8,2330.2,63.5,1128.4,0
3904.0,67.8,2.53,115.8,24,4,66.1,2191.1,89.9,1125.8,0
4664.1,114.6,2.07,52.5,38,1,75.4,3497.9,28.1,518.4,0
3256.2,113.8,0.3,72.7,2,12,13.5,2112.5,27.1,323.5,0
9944.9,80.2,4.67,63.8,41,13,57.8,591.5,73.7,1132.8,1
4281.0,66.2,1.84,86.0,105,2,60.9,2475.6,43.6,328.3,0
3371.2,99.0,1.19,65.0,19,10,17.1,1508.7,69.4,757.6,0
6512.4,42.9,5.23,153.8,105,3,55.1,629.6,60.9,453.6,0
1691.1,78.0,5.45,54.4,2,12,74.2,2618.8,94.0,1443.1,0
9626.4,66.9,6.02,142.7,92,7,14.8,1426.8,86.7,1756.8,1
894.6,113.6,4.03,71.1,96,7,78.4,2537.3,70.9,1198.0,0
11842.6,41.0,7.15,191.8,62,12,61.9,1749.9,39.6,879.3,1
9266.9,84.2,7.49,190.0,83,9,85.0,3216.7,39.6,1993.6,1
2384.6,99.3,6.46,83.8,16,12,29.6,4958.9,86.2,140.3,0
66.3,78.8,5.08,142.2,94,12,85.0,2962.5,63.9,678.2,0
9785.5,46.8,2.43,54.2,22,16,18.5,3411.0,79.2,629.5,0
8482.3,117.8,7.86,189.8,14,5,46.3,4636.7,53.7,776.8,1
8748.1,81.4,2.19,128.4,116,1,28.0,2183.0,27.7,538.1,1
9255.2,89.1,1.62,56.5,56,16,88.8,1249.5,45.0,602.1,1
888.5,58.9,3.54,101.4,65,11,73.4,1772.6,32.1,589.6,0
4301.6,78.7,0.45,61.5,45,5,12.3,2312.6,78.6,1060.9,0
1390.4,74.3,7.83,108.9,54,4,10.9,3402.6,72.5,843.0,1
10357.2,46.0,4.71,150.5,66,4,36.2,520.6,26.6,1314.6,0
7479.6,48.5,4.46,120.5,86,8,22.9,4340.2,66.6,1077.4,1
3970.8,107.0,5.25,107.6,46,2,66.7,842.4,85.6,448.5,1
762.7,59.2,3.98,67.9,33,19,69.7,4552.9,72.3,1639.1,0
3731.8,55.6,0.26,86.7,79,4,94.8,4772.5,58.3,997.2,0
3902.2,80.4,4.9,65.0,50,6,95.7,4955.5,43.4,391.1,0
8755.3,101.5,5.73,171.1,105,11,69.3,4142.8,86.5,417.1,1
7650.7,45.0,3.33,70.3,22,6,10.5,1138.3,51.7,1614.2,0
10646.6,86.1,6.06,139.3,40,9,42.3,3677.8,84.2,1435.7,1
5666.6,49.5,1.82,101.4,39,7,56.2,1414.9,78.7,1062.4,0
1435.1,42.9,1.77,83.9,105,16,54.9,4537.1,81.2,681.6,0
8558.9,44.2,1.29,145.9,41,4,64.3,1924.7,94.2,975.0,0
9129.4,106.7,2.98,118.6,75,14,96.4,1970.6,76.2,1309.3,1
6735.3,49.4,6.78,110.0,68,8,89.7,4629.4,22.6,1770.6,0
9251.6,43.6,6.62,138.9,7,10,19.8,559.5,35.4,1156.1,0
5925.5,75.0,3.06,123.7,85,12,33.9,1372.8,22.6,625.8,0
6272.8,107.5,4.71,95.5,71,17,85.0,2398.7,34.2,181.2,1
5130.5,61.0,5.77,133.9,4,16,84.2,3653.2,24.6,433.4,0
305.0,73.7,1.93,150.4,76,8,34.8,3414.0,57.6,1335.3,0
1294.7,43.2,1.35,54.0,91,9,75.8,3512.4,22.1,404.8,0
377.2,75.9,7.78,119.9,59,4,70.5,4460.1,55.4,1014.9,0
7636.9,86.2,4.94,58.7,81,10,52.6,1044.6,87.4,1428.0,1
3772.3,85.7,7.85,78.0,84,14,28.1,2849.7,76.1,685.6,0
6102.8,66.6,2.7,134.1,95,1,90.0,3764.6,90.8,1371.3,1
10890.8,65.2,5.62,179.9,26,20,71.0,3362.5,37.0,1204.0,1
2991.5,48.5,1.78,182.4,31,19,25.2,2517.4,59.8,934.0,0
4924.6,69.3,2.09,60.5,99,13,73.4,577.0,43.9,1804.8,0
9066.6,48.0,4.1,112.9,73,4,76.7,772.0,57.0,1414.9,0
2745.6,101.3,2.56,137.5,69,5,89.8,1035.2,61.8,785.1,1
923.8,117.3,1.34,72.1,52,14,30.1,2044.5,22.7,1628.1,1
3477.0,117.6,2.1,164.8,112,3,99.0,1029.4,37.5,1502.4,1
1934.7,109.2,0.29,161.6,72,9,23.8,2417.4,72.9,1604.2,1
11156.4,88.1,5.64,185.5,21,18,64.1,1303.9,78.0,1317.8,1
9697.4,96.1,3.94,51.3,16,8,69.1,4006.2,62.7,820.8,0
7600.8,62.8,0.75,82.5,51,20,47.7,4421.7,40.3,762.3,0
10457.5,90.5,1.37,174.1,16,9,52.8,2253.4,50.4,1342.9,1
9644.1,76.5,0.82,150.6,18,3,90.2,2801.0,27.2,348.7,1
2238.8,78.6,4.9,184.2,47,3,68.1,4790.7,91.5,1657.8,0
10710.7,100.6,0.75,58.6,56,5,54.7,2909.8,85.2,803.6,1
6472.1,62.6,6.03,139.5,28,7,21.6,4977.8,24.9,1297.7,1
9689.3,65.4,0.16,135.4,82,15,10.7,1139.6,32.5,1048.2,0
10753.1,114.0,2.0,55.4,78,7,21.2,4380.0,63.6,1086.7,1
3816.0,44.5,7.13,127.0,56,15,96.1,2737.4,37.4,1502.2,0
1320.6,78.9,5.75,141.4,112,5,78.8,602.2,90.1,1290.7,0
2735.2,113.0,0.58,78.7,37,16,97.0,4875.0,76.7,575.6,0
5125.3,88.8,6.57,91.0,104,0,13.2,4842.7,40.5,241.0,0
9816.2,83.7,3.94,146.1,16,18,71.2,2224.7,20.5,1696.4,1
10328.8,60.0,6.77,120.2,85,17,14.0,4793.6,80.0,1781.3,1
83.4,67.5,4.81,178.7,65,16,80.4,1134.5,51.8,412.5,0
6129.0,108.2,5.45,101.4,60,16,44.3,3560.5,68.2,688.0,1
5008.9,84.7,7.95,90.0,61,11,18.6,1363.7,41.5,636.5,1
2665.3,81.2,1.86,197.7,11,11,61.1,1609.9,30.7,1881.2,0
1438.4,48.0,4.99,186.7,75,5,35.2,4007.0,70.6,489.1,0
4051.4,41.3,3.68,54.3,66,6,69.4,2198.1,53.8,416.4,0
11314.9,117.1,0.32,165.6,32,7,69.2,532.1,37.6,445.5,1
3878.4,70.2,0.12,66.6,118,2,73.5,2364.1,30.3,1486.8,0
6225.5,88.3,0.95,54.1,19,16,99.3,1526.3,63.5,1787.2,0
8436.2,46.4,5.19,91.1,56,20,44.8,3575.0,74.4,847.4,0
4363.6,94.6,4.54,90.4,5,7,51.9,1375.0,41.3,358.6,0
11661.4,114.6,4.43,172.9,3,10,82.4,4290.1,75.1,1212.9,1
11549.4,86.1,0.25,156.6,28,19,62.1,1701.9,33.7,498.9,0
3021.4,50.1,3.75,197.2,90,17,13.4,2268.6,45.4,221.9,0
5967.0,86.5,7.4,156.7,87,15,85.9,1841.2,75.9,1783.8,1
3610.5,101.3,3.18,112.7,94,12,14.6,3397.7,69.5,1754.6,0
3418.1,72.5,5.0,154.8,72,8,25.4,955.2,40.3,1954.2,0
442.6,110.4,6.24,199.9,100,18,19.2,2651.4,29.2,1000.6,0
7314.8,91.9,6.27,156.5,29,6,17.0,2005.0,23.2,658.6,1
6032.1,111.9,4.15,164.3,77,16,12.3,4478.6,82.8,1562.6,1
617.7,89.9,6.86,190.8,59,7,15.0,830.4,25.6,442.9,0
3343.8,50.5,3.13,67.0,25,7,49.8,4233.6,28.6,562.3,0
10899.2,64.8,7.11,155.7,22,2,32.8,1254.6,37.8,585.8,1
2874.7,56.1,1.92,177.6,110,15,21.4,898.6,53.4,1908.1,0
1738.7,112.7,2.24,193.2,97,11,69.3,1410.5,79.2,1486.7,1
5873.4,100.8,0.42,81.6,101,14,30.4,961.9,38.6,354.0,0
11827.8,94.1,6.36,125.6,117,20,11.7,2844.4,60.8,276.4,1
2904.7,64.1,3.34,152.1,71,3,47.7,4947.0,26.8,1701.3,0
8065.6,54.7,1.83,87.1,23,6,37.9,654.5,54.8,1624.3,0
9139.4,100.5,1.85,140.1,70,10,38.7,2575.1,33.3,1374.9,1
2851.7,77.9,7.21,88.6,79,4,50.1,2237.3,35.8,472.6,0
8738.6,58.1,6.67,100.0,79,12,70.2,2028.2,47.5,1012.5,0
4413.4,89.3,4.43,116.2,40,10,65.5,1993.4,77.1,1245.2,1
7587.7,43.2,4.93,129.4,98,4,94.4,4527.6,75.8,1871.1,1
7602.4,66.1,3.79,117.4,14,7,56.6,585.4,51.1,421.9,0
6429.3,77.5,3.13,124.0,29,20,52.5,3987.1,28.9,1079.3,0
1083.5,51.8,7.32,94.8,16,16,29.2,1638.2,41.1,399.7,0
10023.6,118.8,1.0,73.8,93,10,78.0,2224.8,57.9,943.3,1
3849.4,56.7,3.35,57.1,87,18,22.7,2390.7,85.2,480.3,0
2238.2,50.4,2.76,79.4,10,17,54.2,1871.3,92.6,1688.8,0
489.3,56.3,3.99,137.3,47,9,47.9,921.0,67.8,584.0,0
7090.7,101.5,3.66,167.9,119,4,69.2,1014.5,46.3,892.5,1
8130.8,74.0,4.15,75.4,4,0,92.6,1841.6,72.0,874.8,1
199.1,85.2,1.12,66.3,12,16,95.2,4198.1,45.2,1746.0,0
6145.1,41.7,4.11,162.4,42,16,25.1,1105.8,66.9,1539.8,0
2717.9,42.8,1.94,95.8,98,0,33.6,3841.9,38.3,209.4,0
7742.1,75.7,1.47,192.7,4,0,83.0,1799.9,40.0,227.5,1
2092.4,105.3,0.52,157.1,84,8,56.6,4475.6,25.6,1147.3,0
8291.3,110.8,6.1,99.0,92,3,50.8,2427.5,51.5,912.7,1
4640.8,46.9,3.42,93.4,92,8,74.0,1272.8,66.4,623.6,0
11240.8,83.1,5.01,128.6,6,13,64.2,4936.3,79.2,1606.0,1
1650.3,113.1,5.82,61.9,14,14,97.4,1294.9,80.8,344.4,1
4092.8,71.0,5.43,67.7,119,15,62.6,3054.3,94.4,1950.7,0
1361.7,106.4,3.76,76.4,35,15,51.9,3061.8,26.6,145.8,0
11096.3,50.7,3.1,166.2,47,12,58.9,2177.7,57.0,324.6,1
10528.1,114.8,3.01,127.1,58,13,82.8,4781.7,59.1,691.5,1
3095.3,100.1,5.12,51.6,65,20,65.1,4297.4,80.3,1067.4,0
7919.8,115.3,3.96,151.0,19,8,68.2,4234.2,40.0,510.7,1
9806.7,94.1,6.79,113.6,57,8,97.4,4883.7,25.2,1498.8,1
6662.4,69.1,7.0,126.6,65,20,65.7,2557.0,43.5,779.3,1
6355.8,115.1,1.36,82.1,13,3,44.2,937.3,93.8,173.2,0
2902.2,62.0,1.09,132.8,8,9,72.2,3944.6,87.5,1767.7,0
1117.2,66.6,5.04,196.9,18,2,69.4,2213.7,49.6,1893.3,0
10766.6,96.1,2.41,61.0,118,20,11.2,1356.6,85.7,1275.3,1
10805.0,101.2,0.15,92.6,35,8,52.1,2674.6,22.5,1632.4,1
7597.2,114.4,7.11,86.4,87,18,76.9,4665.7,43.6,330.1,0
4068.4,56.4,1.82,87.3,114,15,54.9,1271.1,74.5,610.8,0
4190.5,103.8,7.43,106.8,116,15,80.2,4319.1,36.6,717.9,1
8711.5,99.1,5.74,172.7,26,16,50.6,2381.9,34.9,1925.4,1
10765.3,45.1,6.1,186.9,105,17,98.5,1115.6,84.6,1073.2,1
10645.0,71.0,1.61,80.3,38,9,36.4,4317.7,66.2,114.1,0
9358.5,62.6,1.87,131.4,84,20,18.3,4863.3,94.2,822.4,0
7704.4,64.4,4.17,145.5,66,18,48.7,1810.7,30.1,114.7,0
1009.7,118.6,1.38,128.3,26,14,58.8,1865.9,46.7,551.8,1
1939.5,91.4,2.44,115.1,57,14,41.4,2257.5,43.3,963.9,0
10782.7,97.4,2.57,78.8,100,10,31.8,4163.6,86.0,714.4,0
7277.1,118.1,1.28,123.2,25,7,70.5,546.9,39.1,162.2,1
110.4,70.2,1.64,110.2,30,15,43.9,1507.8,46.5,321.0,0
1217.7,104.1,6.31,169.3,82,9,66.8,3676.5,30.7,1146.7,1
7962.0,74.8,1.34,164.5,7,8,80.1,2325.4,78.2,1421.6,1
60.7,109.6,0.23,70.1,27,14,78.5,1986.3,37.8,868.6,0
1929.7,54.5,5.03,63.3,11,4,43.8,4425.3,25.1,1489.8,0
6584.8,115.8,7.81,186.2,101,19,61.1,4628.0,52.6,410.3,1
8302.7,57.5,2.65,130.3,8,1,50.5,4765.9,49.4,331.9,0
7823.5,66.1,0.95,178.7,11,15,88.4,1726.5,33.3,1695.0,0
2691.2,100.5,4.56,58.7,88,17,89.1,4606.3,30.0,744.5,0
8546.2,71.5,7.25,129.0,30,15,40.9,3816.3,87.2,921.3,1
2847.0,88.7,6.27,130.9,94,4,18.3,1194.0,25.1,1900.4,0
3904.8,75.6,4.98,179.1,116,0,25.1,3246.2,27.4,905.8,0
8957.9,99.4,2.52,64.6,116,18,43.0,618.5,38.4,106.6,1
7795.6,58.3,4.34,86.1,15,9,60.8,3687.7,91.5,1882.1,1
10190.7,44.7,0.73,111.0,56,20,69.1,3801.1,26.4,126.8,0
7891.4,64.0,5.43,179.9,35,12,39.8,4052.0,81.2,1358.3,0
6819.7,77.9,5.8,190.8,39,10,70.1,1276.4,86.9,713.5,1
1124.1,53.4,7.72,198.9,24,14,94.4,3327.1,48.3,993.7,0
4412.6,68.4,2.08,193.9,8,1,68.7,1304.9,42.0,1139.8,0
3182.4,72.0,0.15,50.9,43,5,24.3,4759.9,70.8,876.1,0
2927.9,44.6,4.36,57.2,42,20,62.2,3537.5,72.7,1571.3,0
11676.1,86.7,5.65,72.1,84,10,58.8,929.0,78.5,1868.3,1
4717.2,110.7,6.32,102.3,41,14,88.4,1341.6,82.3,264.2,1
10704.6,52.1,1.55,174.5,47,8,41.5,3485.6,40.1,1620.5,0
7573.7,87.8,2.09,183.9,26,11,48.1,2645.0,71.5,344.5,0
9537.7,93.2,4.1,78.0,52,3,63.9,3813.3,30.1,252.5,1
6031.6,73.5,2.64,142.9,88,13,57.2,1763.5,58.3,1916.1,1
6922.8,96.1,6.88,187.6,22,2,74.7,3460.6,66.0,1029.7,1
5910.2,72.9,3.79,119.6,5,20,13.6,1296.3,32.1,389.9,0
2342.9,80.4,6.4,65.5,15,16,60.7,2946.7,25.7,1182.9,0
8669.4,40.6,4.64,118.7,36,12,21.0,4810.1,34.6,600.2,1
3369.3,95.3,6.18,106.4,101,7,38.4,3327.0,51.5,982.2,0
291.8,92.9,2.66,136.6,63,11,69.5,725.0,86.6,1286.9,0
7745.7,43.1,6.65,115.8,93,11,24.2,4949.4,59.9,1751.6,0
2125.3,69.5,2.2,52.6,79,11,37.8,1205.9,76.1,105.9,0
11285.5,118.3,4.37,199.1,91,1,73.3,3731.3,33.1,506.9,1
11447.1,73.7,1.71,131.5,49,9,68.6,2896.4,27.9,282.9,0
10978.4,80.2,3.8,121.0,55,8,18.2,1824.6,38.0,284.5,1
4441.9,112.8,2.55,193.2,72,0,62.0,1297.9,43.5,1897.0,1
185.5,97.4,2.13,73.4,60,3,23.3,1299.7,61.1,1878.6,0
11139.8,86.6,7.74,78.4,57,13,32.7,4362.8,86.1,1523.7,1
5138.2,103.8,1.28,171.2,29,15,51.3,4428.1,52.0,1321.8,0
11599.9,109.1,6.3,89.1,19,17,19.8,2593.2,58.9,1711.1,1
11563.4,76.6,7.87,169.9,95,1,99.4,966.3,20.3,211.0,1
10236.1,78.0,0.16,90.7,73,5,24.9,4478.7,22.5,327.0,0
3533.4,70.9,5.59,55.0,10,2,80.3,2691.6,26.3,702.5,0
4621.2,117.3,2.02,127.6,101,19,84.7,2474.4,72.4,1681.7,1
10213.6,95.8,0.32,79.5,10,18,99.5,2333.1,56.5,997.2,1
3803.1,46.7,3.22,163.7,118,12,48.6,2142.6,34.5,1056.8,0
2033.9,109.0,7.48,146.2,97,16,88.7,2867.0,64.4,535.6,1
6681.6,78.4,0.09,188.5,89,13,96.2,3220.4,60.8,1331.9,0
11233.9,45.5,4.7,167.4,57,10,25.6,2598.9,26.7,1786.9,1
8352.4,84.0,4.01,77.1,54,15,53.1,4534.9,68.0,726.1,0
6840.7,73.4,6.99,170.0,56,10,15.4,1929.5,77.5,1276.5,1
1166.1,110.2,0.67,146.3,68,17,65.9,3102.4,41.5,730.7,1
7380.1,56.3,5.45,150.3,117,1,62.3,1849.8,71.6,1606.2,1
11880.6,106.1,5.44,174.8,69,20,28.4,3890.1,35.0,1002.4,1
1681.0,84.6,5.35,136.1,87,7,81.8,959.5,76.8,745.0,1
6220.0,44.4,7.54,119.9,103,13,13.4,1349.1,88.4,898.1,0
10528.5,117.7,6.58,145.5,55,1,82.6,4105.4,53.1,273.3,1
8889.2,81.0,0.34,94.7,69,12,12.4,1324.4,38.3,1745.6,0
8364.2,63.3,3.77,77.4,116,9,69.1,3315.9,49.9,1920.3,1
8429.8,77.6,3.18,142.5,72,7,17.1,4866.1,38.8,1007.1,0
4313.9,108.6,2.48,85.1,81,6,32.6,2853.0,20.1,520.5,0
3523.1,64.4,3.61,62.0,1,12,75.0,1343.3,68.8,1362.8,0
9712.3,55.4,3.07,50.1,118,18,35.2,1943.1,23.2,959.5,0
9721.4,50.3,3.46,141.2,114,14,56.0,4205.6,35.8,579.4,0
10404.9,63.8,7.83,104.3,12,1,92.4,2082.5,74.2,173.0,0
10958.9,102.4,0.71,162.8,35,4,14.5,3755.8,69.9,1790.4,1
6136.1,77.7,7.38,106.3,116,18,83.0,3998.1,25.5,1613.8,1
6018.2,58.2,3.84,122.9,78,0,15.9,2755.3,69.5,1675.1,0
9579.5,53.3,4.99,111.1,112,6,21.4,4024.5,89.8,935.7,0
7799.6,66.6,6.64,147.6,82,17,20.7,1926.1,25.6,1531.2,1
8423.6,115.2,2.88,103.4,74,0,99.5,2822.7,51.2,1204.3,1
9549.5,67.4,3.44,194.6,119,0,26.2,3589.5,74.7,812.1,1
10680.1,119.0,3.28,190.4,79,6,90.7,1256.3,70.1,1701.2,1
4055.9,78.8,3.0,177.2,106,16,99.2,1731.3,37.0,1997.6,1
4507.0,54.3,7.4,188.0,33,5,44.5,3434.2,32.2,1808.6,1
1127.8,111.3,6.63,117.4,83,19,66.8,3449.1,78.8,1574.8,0
6939.4,76.8,0.87,130.5,98,11,80.1,2719.9,91.7,1520.3,0
431.3,96.8,0.86,161.3,109,19,45.3,4080.1,77.6,1335.5,0
5587.2,118.7,3.42,154.4,25,14,24.6,2669.2,92.2,1721.9,1
6511.7,44.0,0.79,183.6,16,12,49.0,4466.0,65.4,1036.9,0
3438.5,47.7,4.95,157.4,8,11,79.5,3811.6,89.7,445.3,0
7090.0,97.6,1.15,199.7,35,20,80.3,1916.1,71.8,1559.3,0
366.0,62.5,4.18,102.3,85,1,30.7,2278.6,88.2,1847.1,0
448.2,54.7,0.06,174.9,83,20,25.7,3504.6,32.1,748.6,0
9871.2,43.1,2.53,154.6,46,17,92.9,4525.0,81.2,1587.7,0
4322.3,41.7,5.42,153.7,11,3,14.0,1304.2,34.8,620.1,0
1524.7,102.0,3.87,98.9,61,9,76.1,2816.0,22.1,1890.9,0
6266.9,50.8,7.83,167.8,44,10,14.2,1034.5,58.8,1398.6,0
9239.9,77.4,6.99,185.1,11,20,85.4,1757.5,43.9,1181.6,0
2589.9,88.5,2.87,82.8,11,5,91.5,3586.9,23.3,1581.8,0
7474.7,74.3,0.36,143.8,22,5,36.8,849.8,93.5,1645.1,0
1024.2,42.2,6.77,108.8,85,8,16.7,3480.6,70.0,1795.5,0
620.2,102.7,7.29,198.4,91,19,53.3,4553.7,87.6,1812.1,1
6376.3,40.8,6.57,121.8,82,12,36.9,4862.2,94.9,200.1,1
6487.6,101.0,1.02,84.2,62,4,47.5,1474.8,49.4,333.5,0
7649.2,111.5,7.98,107.3,106,5,69.8,3870.0,39.1,1669.5,1
8713.1,74.6,2.07,148.1,48,3,28.9,4668.7,33.8,1897.5,0
11710.2,82.8,5.79,61.4,104,5,42.1,911.2,58.6,684.6,1
6195.6,78.2,7.26,140.5,102,17,80.4,2363.1,65.5,116.3,0
3875.5,71.1,1.89,189.7,94,12,67.9,4637.3,55.4,713.1,1
9542.2,111.0,7.27,177.6,63,2,39.4,1412.5,49.0,827.4,1
3250.0,111.5,2.48,60.2,51,9,69.8,4701.9,32.6,1546.0,1
5267.7,66.9,7.81,199.0,45,3,78.9,2872.4,53.1,190.4,1
941.5,89.2,2.25,154.8,111,14,63.3,949.5,26.4,504.0,0
304.2,114.2,7.63,74.3,109,11,31.6,2524.4,84.9,1798.5,1
11551.8,117.0,0.43,51.9,33,14,10.0,1968.2,23.5,394.2,1
10031.8,80.7,5.67,75.7,85,20,82.3,1769.9,48.5,1542.6,0
8351.7,76.2,4.26,175.7,60,9,84.0,2936.6,27.5,786.5,1
4907.4,62.3,3.82,53.2,2,11,72.8,2676.2,78.1,1359.1,0
2079.5,116.7,1.79,85.0,13,7,16.9,2668.9,43.5,240.3,0
1877.2,51.4,5.64,163.6,66,20,62.7,896.6,28.5,644.5,0
3002.9,86.4,1.53,137.9,57,20,83.9,4110.4,59.9,907.1,0
6590.7,62.6,4.42,167.4,43,2,45.1,2666.5,88.7,1728.7,0
8575.2,62.3,2.03,161.9,45,6,27.8,4194.1,88.1,1170.6,0
7922.4,72.4,7.64,57.6,31,17,62.9,4210.7,38.7,185.9,0
3359.2,119.9,0.23,183.9,10,2,84.4,1927.1,74.0,1623.5,1
11458.4,44.4,1.6,84.1,23,14,14.4,519.6,22.3,203.6,0
8854.8,86.3,1.94,133.0,86,1,63.7,4600.6,29.9,1875.3,1
6652.2,46.6,3.31,146.6,111,14,67.9,3923.1,57.5,502.3,0
7340.6,52.4,1.86,75.3,29,12,64.2,982.6,37.2,1027.1,0
5035.2,75.2,3.93,196.4,97,19,68.5,3657.8,79.9,237.3,0
2972.8,80.8,6.98,123.2,31,9,66.8,590.1,89.8,1167.3,0
4271.7,60.7,5.7,58.6,78,7,21.7,624.9,20.3,1044.7,0
9094.2,65.3,4.64,190.6,74,15,31.1,2866.2,37.5,879.5,0
172.7,47.0,0.71,137.9,18,15,65.7,932.2,53.0,167.6,0
1392.9,64.3,5.55,154.9,11,1,11.6,4839.5,62.2,1770.0,1
552.0,117.3,1.33,128.8,103,8,67.1,4522.2,88.7,1625.0,1
488.7,115.6,6.29,175.2,47,7,69.9,3424.2,86.9,1302.8,1
10265.5,66.8,2.0,55.0,3,10,31.5,786.7,67.8,1187.2,0
8443.9,85.7,3.34,90.3,2,0,63.8,1961.8,39.3,1420.4,1
5690.1,112.8,2.8,120.4,54,20,58.1,2172.8,78.7,373.6,1
1174.0,40.5,6.87,61.5,72,10,33.5,2664.0,35.2,1872.0,0
5899.4,104.9,1.01,155.9,31,17,51.7,1260.1,92.4,640.9,0
5681.7,115.9,4.53,109.0,8,20,91.9,3098.8,20.4,1347.3,1
2078.4,47.3,1.14,90.9,43,14,48.4,2461.0,62.7,1252.8,0
5206.2,52.9,5.64,50.5,48,8,66.7,4762.8,26.6,1309.6,0
